Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
2.5,26,0,Games,"Games, Entertainment, Strategy, Card",,,,,,,,,,,,,
3,9,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
,,0,Games,"Games, Strategy, Puzzle, Entertainment",,,,,,,,,,,,,
4,1158,0,Games,"Games, Strategy, Action",,,,,,,,,,,,,
4,3447,4.99,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3,11,5.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
3.5,119,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
,,0,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
5,19,1.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,769,0,Games,"Games, Board, Education, Strategy",,,,,,,,,,,,,
4,23,4.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
